ERROR 2026-05-15 17:53:51,299 log Internal Server Error: /api/leads/
WARNING 2026-05-15 17:54:47,389 log Not Found: /api/users/
WARNING 2026-05-15 17:54:47,461 log Not Found: /api/users/
ERROR 2026-05-15 17:54:48,337 log Internal Server Error: /api/leads/
ERROR 2026-05-15 17:54:48,370 log Internal Server Error: /api/leads/
WARNING 2026-05-15 18:00:03,406 log Unauthorized: /api/leads/
ERROR 2026-05-15 18:00:37,796 log Internal Server Error: /api/leads/
ERROR 2026-05-15 18:01:13,347 log Internal Server Error: /api/leads/
WARNING 2026-05-15 18:05:25,712 log Forbidden: /api/dashboard/manager/
WARNING 2026-05-15 18:05:25,729 log Forbidden: /api/dashboard/manager/
WARNING 2026-05-15 18:12:29,651 log Unauthorized: /api/auth/login/
WARNING 2026-05-15 18:12:29,988 log Not Found: /api//auth/token/refresh/
WARNING 2026-05-16 09:37:16,385 log Unauthorized: /api/auth/me/
WARNING 2026-05-16 09:37:16,393 log Unauthorized: /api/auth/me/
WARNING 2026-05-16 09:37:16,397 log Unauthorized: /api/auth/me/
WARNING 2026-05-16 09:37:16,404 log Unauthorized: /api/auth/me/
WARNING 2026-05-16 09:37:16,421 log Unauthorized: /api/auth/me/
WARNING 2026-05-16 09:37:16,425 log Unauthorized: /api/auth/me/
WARNING 2026-05-16 09:37:16,431 log Unauthorized: /api/auth/me/
WARNING 2026-05-16 09:37:16,732 log Not Found: /api//auth/token/refresh/
WARNING 2026-05-16 09:37:16,736 log Not Found: /api//auth/token/refresh/
WARNING 2026-05-16 09:37:16,739 log Not Found: /api//auth/token/refresh/
WARNING 2026-05-16 09:37:16,743 log Not Found: /api//auth/token/refresh/
WARNING 2026-05-16 09:37:16,745 log Unauthorized: /api/auth/me/
WARNING 2026-05-16 09:37:16,748 log Not Found: /api//auth/token/refresh/
WARNING 2026-05-16 09:37:16,753 log Not Found: /api//auth/token/refresh/
WARNING 2026-05-16 09:37:16,773 log Not Found: /api//auth/token/refresh/
WARNING 2026-05-16 09:42:01,686 log Unauthorized: /api/auth/login/
WARNING 2026-05-16 09:42:26,480 log Bad Request: /api/auth/register/
WARNING 2026-05-16 09:42:30,076 log Bad Request: /api/auth/register/
WARNING 2026-05-16 09:46:19,675 log Bad Request: /api/tasks/
WARNING 2026-05-16 09:55:46,124 log Bad Request: /api/tasks/
WARNING 2026-05-16 10:00:26,773 log Forbidden: /api/auth/login/
WARNING 2026-05-16 10:17:11,803 log Forbidden: /api/dashboard/manager/
WARNING 2026-05-16 10:17:11,843 log Forbidden: /api/dashboard/manager/
WARNING 2026-05-16 10:17:14,943 log Forbidden: /api/auth/approvals/
WARNING 2026-05-16 10:17:15,035 log Forbidden: /api/auth/approvals/
WARNING 2026-05-16 10:18:18,009 log Unauthorized: /api/leads/
WARNING 2026-05-16 10:18:18,013 log Unauthorized: /api/auth/users/
WARNING 2026-05-16 10:18:18,022 log Unauthorized: /api/leads/
WARNING 2026-05-16 10:18:18,024 log Unauthorized: /api/auth/users/
WARNING 2026-05-16 10:18:18,031 log Unauthorized: /api/leads/
WARNING 2026-05-16 10:18:18,064 log Unauthorized: /api/leads/
WARNING 2026-05-16 10:18:18,093 log Unauthorized: /api/leads/
WARNING 2026-05-16 10:18:18,126 log Unauthorized: /api/leads/
WARNING 2026-05-16 10:18:42,314 log Unauthorized: /api/auth/login/
WARNING 2026-05-16 10:28:55,844 log Forbidden: /api/auth/login/
WARNING 2026-05-16 10:29:06,112 log Unauthorized: /api/auth/login/
WARNING 2026-05-16 10:29:06,673 log Not Found: /api//auth/token/refresh/
WARNING 2026-05-16 10:50:31,968 log Forbidden: /api/auth/approvals/
WARNING 2026-05-16 10:50:31,982 log Forbidden: /api/auth/approvals/
WARNING 2026-05-16 10:50:34,448 log Forbidden: /api/auth/approvals/
WARNING 2026-05-16 10:50:34,479 log Forbidden: /api/auth/approvals/
